epoch,loss,mIoU,mPrecision,mRecall,class_0_IoU,class_0_Precision,class_0_Recall,class_1_IoU,class_1_Precision,class_1_Recall,class_2_IoU,class_2_Precision,class_2_Recall,class_3_IoU,class_3_Precision,class_3_Recall,class_4_IoU,class_4_Precision,class_4_Recall,class_5_IoU,class_5_Precision,class_5_Recall
5,0.506,0.4655,0.5901,0.5853,0.5471,0.7274,0.6882,0.6296,0.753,0.7935,0.6725,0.8092,0.7992,0.0,0.0,0.0,0.6576,0.7766,0.8111,0.2865,0.4742,0.4198
10,0.4509,0.5084,0.6278,0.6238,0.5892,0.7508,0.7323,0.665,0.7829,0.8154,0.7204,0.8417,0.8333,0.0,0.0,0.0,0.6849,0.8037,0.8226,0.3911,0.5874,0.5393
15,0.401,0.5466,0.6917,0.654,0.6253,0.7786,0.7605,0.7135,0.8213,0.8446,0.7739,0.8715,0.8735,0.009,0.2131,0.0093,0.7079,0.8198,0.8384,0.4503,0.6458,0.5979
20,0.3752,0.6042,0.7439,0.7272,0.6364,0.7877,0.7681,0.729,0.8408,0.8457,0.7982,0.887,0.8885,0.261,0.4301,0.3989,0.7155,0.8236,0.845,0.4853,0.6944,0.6171
25,0.354,0.6296,0.7637,0.7547,0.6466,0.7923,0.7786,0.7459,0.8519,0.857,0.8138,0.8994,0.8953,0.3238,0.4951,0.4834,0.7194,0.8283,0.8454,0.5279,0.715,0.6686
30,0.3366,0.6587,0.7936,0.7785,0.6573,0.8031,0.7836,0.764,0.8656,0.8669,0.831,0.9063,0.9091,0.4325,0.6162,0.5919,0.7296,0.8326,0.855,0.5376,0.7377,0.6647
35,0.3248,0.6763,0.8035,0.7985,0.6659,0.8073,0.7918,0.7701,0.8713,0.869,0.8347,0.9102,0.9096,0.4879,0.6418,0.6706,0.7338,0.8352,0.8581,0.5654,0.7553,0.6922
40,0.3059,0.7013,0.8242,0.8162,0.6809,0.8138,0.8065,0.7858,0.8831,0.877,0.8518,0.9184,0.9215,0.5719,0.73,0.7253,0.7405,0.8435,0.8584,0.5772,0.7566,0.7087
45,0.3029,0.7101,0.8278,0.8264,0.6842,0.8165,0.8086,0.7904,0.8863,0.8796,0.8562,0.9224,0.9226,0.5986,0.7231,0.7767,0.7427,0.8435,0.8614,0.5882,0.7748,0.7095
50,0.2897,0.7322,0.8455,0.8405,0.6923,0.8258,0.8107,0.7993,0.8911,0.8859,0.8674,0.9267,0.9314,0.6626,0.7869,0.8075,0.7494,0.8468,0.8669,0.6224,0.7959,0.7406
55,0.2829,0.7461,0.8527,0.8524,0.6961,0.8284,0.8134,0.8046,0.8936,0.8898,0.8712,0.9307,0.9317,0.7211,0.8232,0.8532,0.7524,0.8485,0.8691,0.6315,0.7919,0.7571
60,0.2735,0.7379,0.8531,0.8395,0.7094,0.8358,0.8243,0.8154,0.9012,0.8954,0.8792,0.9329,0.9385,0.6161,0.7892,0.7375,0.7581,0.854,0.871,0.6492,0.8053,0.7701
65,0.2659,0.7555,0.86,0.8571,0.7156,0.838,0.8305,0.8221,0.9064,0.8984,0.8853,0.9371,0.9412,0.7015,0.8163,0.833,0.7634,0.8586,0.8732,0.6451,0.8034,0.7661
70,0.2608,0.7702,0.8699,0.8669,0.7251,0.8455,0.8358,0.827,0.9083,0.9023,0.889,0.9398,0.9427,0.752,0.856,0.861,0.7663,0.8599,0.8757,0.662,0.8098,0.7839
75,0.2546,0.7753,0.8718,0.8715,0.7285,0.8489,0.8371,0.8306,0.9114,0.9036,0.8933,0.9414,0.946,0.7588,0.8535,0.8724,0.7716,0.8624,0.8799,0.6691,0.8136,0.7903
80,0.249,0.7843,0.8789,0.8763,0.737,0.853,0.8442,0.8346,0.9137,0.906,0.8943,0.9415,0.9469,0.7825,0.8736,0.8824,0.7756,0.8667,0.8807,0.6819,0.8246,0.7975
85,0.243,0.7959,0.8864,0.8833,0.7411,0.8549,0.8478,0.8415,0.9168,0.911,0.9012,0.9462,0.9498,0.8194,0.898,0.9035,0.7775,0.869,0.8808,0.6948,0.8333,0.807
90,0.2381,0.7993,0.8877,0.8864,0.7501,0.8615,0.8529,0.8458,0.9176,0.9153,0.9016,0.9477,0.9488,0.8146,0.891,0.9047,0.7849,0.8737,0.8853,0.6991,0.8345,0.8116
95,0.2313,0.8063,0.8922,0.8906,0.7574,0.8659,0.858,0.8497,0.9204,0.9171,0.9057,0.9496,0.9515,0.8339,0.8996,0.9194,0.7879,0.8756,0.8872,0.7034,0.8423,0.8101
100,0.2296,0.8039,0.8919,0.8878,0.7611,0.8689,0.8599,0.8527,0.9219,0.9192,0.9089,0.951,0.9536,0.8063,0.8924,0.8932,0.7909,0.8775,0.8891,0.7033,0.84,0.8121
105,0.2218,0.8137,0.8972,0.8947,0.7655,0.872,0.8625,0.8586,0.9258,0.9221,0.9142,0.9538,0.9566,0.8311,0.9048,0.9108,0.7961,0.8802,0.8929,0.7165,0.8466,0.8234
110,0.2189,0.8161,0.899,0.8961,0.7739,0.8777,0.8674,0.8614,0.9272,0.9239,0.9143,0.9531,0.9573,0.8226,0.8997,0.9057,0.8016,0.8841,0.8957,0.7232,0.8523,0.8269
115,0.2136,0.822,0.902,0.9002,0.7829,0.8825,0.8741,0.8649,0.929,0.9262,0.9181,0.9557,0.9589,0.8398,0.9067,0.9192,0.8045,0.8868,0.8966,0.7219,0.8512,0.8262
120,0.2092,0.8229,0.9027,0.9007,0.7881,0.8853,0.8777,0.8679,0.9305,0.9281,0.9198,0.9572,0.9593,0.824,0.9013,0.9056,0.8105,0.8906,0.9001,0.7274,0.8511,0.8334
125,0.2048,0.8312,0.9086,0.9048,0.7912,0.8885,0.8785,0.8709,0.9324,0.9296,0.9226,0.9582,0.9613,0.8582,0.921,0.9264,0.8122,0.8902,0.9026,0.7323,0.861,0.8304
130,0.2036,0.8358,0.9111,0.9078,0.7958,0.8907,0.8819,0.8725,0.9328,0.931,0.9236,0.9593,0.9613,0.8636,0.9235,0.9301,0.8156,0.8931,0.9038,0.7435,0.8674,0.8388
135,0.1995,0.8399,0.9139,0.9098,0.7992,0.8923,0.8845,0.8757,0.9353,0.9321,0.9252,0.9595,0.9628,0.8754,0.9359,0.9312,0.8185,0.8953,0.9051,0.7453,0.8653,0.8432
140,0.1965,0.8449,0.9158,0.9139,0.8043,0.8965,0.8866,0.8769,0.935,0.9338,0.9263,0.9603,0.9631,0.8875,0.9393,0.9415,0.823,0.898,0.9079,0.7515,0.8658,0.8505
145,0.1937,0.8454,0.9161,0.9143,0.807,0.8978,0.8886,0.8807,0.9373,0.9358,0.9291,0.9616,0.9648,0.8803,0.9312,0.9415,0.8265,0.9005,0.9096,0.7491,0.8678,0.8456
150,0.1925,0.8473,0.9183,0.9141,0.8106,0.8991,0.8917,0.8804,0.9362,0.9366,0.9286,0.9622,0.9638,0.891,0.9446,0.94,0.8271,0.9018,0.9089,0.7463,0.866,0.8436
